bite_date,GenderIDDesc,color,vaccination_yrs,vaccination_date,victim_zip,AdvIssuedYNDesc,WhereBittenIDDesc,quarantine_date,DispositionIDDesc,head_sent_date,release_date,SpeciesIDDesc_DOG,BreedIDDesc_AAUST. TERR.,BreedIDDesc_AIREDALE TER.,BreedIDDesc_AKITA,BreedIDDesc_ALASK. MALAMUTE,BreedIDDesc_AM BULLDOG,BreedIDDesc_AM. ESKIMO,BreedIDDesc_AMER FOX HOUND,BreedIDDesc_AMER. BULL DOG,BreedIDDesc_BASANJI,BreedIDDesc_BASSET HOUND,BreedIDDesc_BEAGLE,BreedIDDesc_BEARDED COLLIE,BreedIDDesc_BERNESEN MT.,BreedIDDesc_BESINJI,BreedIDDesc_BICHON FRESE,BreedIDDesc_BICHON FRISE,BreedIDDesc_BLACK LAB,BreedIDDesc_BLOOD HOUND,BreedIDDesc_BLUE HEELER,BreedIDDesc_BORDER COLLIE,BreedIDDesc_BORDER COLLIE M,BreedIDDesc_BOSTON TERRIER,BreedIDDesc_BOUVIER,BreedIDDesc_BOX TERRIER,BreedIDDesc_BOXER,BreedIDDesc_BRIARD,BreedIDDesc_BRITNEY SPANIEL,BreedIDDesc_BULL DOG,BreedIDDesc_BULLMASTIFF,BreedIDDesc_CANE CORSO,BreedIDDesc_CATAHOULA,BreedIDDesc_CATTLE DOG,BreedIDDesc_CHICHAUHUA,BreedIDDesc_CHOCOLATE LAB.,BreedIDDesc_CHOW CHOW,BreedIDDesc_COCKAPOO,BreedIDDesc_COCKER SPAINEL,BreedIDDesc_COLLIE,BreedIDDesc_COON HOUND,BreedIDDesc_CORGI,BreedIDDesc_DACHSHUND,BreedIDDesc_DALMATIAN,BreedIDDesc_DOBERMAN,BreedIDDesc_DOTSON,BreedIDDesc_ENG. MASTIFF,BreedIDDesc_ENGLISH BULLDOG,BreedIDDesc_ENGLISH SETTER,BreedIDDesc_ENGLISH SHEPARD,BreedIDDesc_FOX TERRIER,BreedIDDesc_FOX TERRIER MIX,BreedIDDesc_FRENCH BULLDOG,BreedIDDesc_GERM SHEPHERD,BreedIDDesc_GOLD RETRIEVER,BreedIDDesc_GOLDEN LAB,BreedIDDesc_GREAT DANE,BreedIDDesc_GREAT PYRENEESE,BreedIDDesc_GREYHOUND,BreedIDDesc_HAVANESE,BreedIDDesc_HEELER,BreedIDDesc_HUSKY,BreedIDDesc_IRISH SETTER,BreedIDDesc_IRISH SPANIEL,BreedIDDesc_IRISH WOLFHOUND,BreedIDDesc_LABRADOR RETRIV,BreedIDDesc_LAKELAND TER.,BreedIDDesc_LHASA APSO,BreedIDDesc_MALAMUTE,BreedIDDesc_MALTASE,BreedIDDesc_MASTIF,BreedIDDesc_MIN PIN,BreedIDDesc_NEW FOUNDLAND,BreedIDDesc_OLD ENG SHP DOG,BreedIDDesc_OTHER,BreedIDDesc_PEKINGESE,BreedIDDesc_PIT BULL,BreedIDDesc_POMERANIAN,BreedIDDesc_POODLE,BreedIDDesc_PUG,BreedIDDesc_PYRENES,BreedIDDesc_RAT TERRIER,BreedIDDesc_RED HEELER,BreedIDDesc_ROTTWEILER,BreedIDDesc_SAINT BERNARD,BreedIDDesc_SAMOYED,BreedIDDesc_SCHNAUZER,BreedIDDesc_SCOTTISH TER.,BreedIDDesc_SHAR-PEI,BreedIDDesc_SHEEP DOG,BreedIDDesc_SHELTIE,BreedIDDesc_SHIH TZU,BreedIDDesc_SIBERAN HUSKY,BreedIDDesc_SPITZ,BreedIDDesc_ST BERNARD,BreedIDDesc_STAN POODLE,BreedIDDesc_TOY FOX TERRIER,BreedIDDesc_TOY POODLE,BreedIDDesc_WEIMARANER,BreedIDDesc_WEINER DOG,BreedIDDesc_WELSH CORGI,BreedIDDesc_WESTIE,BreedIDDesc_YORKSHIRE TERRIER,ResultsIDDesc_NEGATIVE,ResultsIDDesc_POSITIVE,ResultsIDDesc_UNKNOWN
2010-12-24 00:00:00,UNKNOWN,BROWN/BLAC,,,40291,NO,BODY,2010-12-27 00:00:00,UNKNOWN,2010-12-26 00:00:00,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2011-01-11 00:00:00,MALE,RED,1.0,2010-02-12 00:00:00,40207,NO,BODY,2011-01-12 00:00:00,UNKNOWN,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True
2011-01-16 00:00:00,UNKNOWN,BLK-WHITE,,,40216,NO,BODY,2011-01-18 00:00:00,KILLED,2011-01-16 00:00:00,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False
2011-01-28 00:00:00,MALE,BLACK,,,40215,NO,,2011-01-28 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-01-29 00:00:00,MALE,BEIGE-WHT,3.0,2010-07-26 00:00:00,40223,NO,BODY,2011-01-31 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-02-04 00:00:00,FEMALE,BLACK,1.0,2011-02-19 00:00:00,40229,NO,BODY,2011-02-09 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-02-06 00:00:00,MALE,BLK-WHITE,1.0,2010-11-10 00:00:00,40229,NO,HEAD,2011-02-09 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-02-06 00:00:00,MALE,WHITE-TAN,,,40211,NO,BODY,2011-02-06 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-02-08 00:00:00,,TAN,,2009-04-20 00:00:00,77701,NO,BODY,2011-02-08 00:00:00,RELEASED,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2011-02-10 00:00:00,FEMALE,TAN,,,40220,NO,HEAD,2011-02-11 00:00:00,,,,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
